device_guid	establishment_id	beer_id	report_count	last_report_update
009F365E-8A81-4838-A307-4E88F36D324E	18	179	1	2015-07-16 22:13:22
009F365E-8A81-4838-A307-4E88F36D324E	10	352	1	2015-07-16 23:23:18
09D28D2D-453F-4726-B62F-BCFC9B875BAF	11	200	1	2015-07-17 01:44:10
09D28D2D-453F-4726-B62F-BCFC9B875BAF	12	196	0	2015-07-17 03:00:15
0B39F9D5-12FB-4577-92CF-854832A597F3	11	200	1	2015-07-17 04:21:31
74344C02-981B-4D57-B718-1EEB1A5F4C5C	26	64	1	2015-07-17 04:55:58
C9DA645E-FE9B-466C-836F-A3A929738056	28	397	1	2015-07-17 14:05:03
DED10232-DF57-43A3-9E48-75CF50259E69	11	200	1	2015-07-17 23:20:03
DED10232-DF57-43A3-9E48-75CF50259E69	11	202	1	2015-07-17 23:20:09
DED10232-DF57-43A3-9E48-75CF50259E69	11	411	1	2015-07-17 23:20:27
200716F1-6D50-4840-8B1F-284FA8B63D8A	19	145	1	2015-07-17 23:33:48
DED10232-DF57-43A3-9E48-75CF50259E69	11	205	1	2015-07-17 23:38:32
3EA434D8-489F-42E4-BD15-9A829A3EAC70	11	202	1	2015-07-17 23:53:58
4B9AFD2F-2C94-434F-89AD-2126A0383D9F	27	51	1	2015-07-18 01:03:42
DED10232-DF57-43A3-9E48-75CF50259E69	26	63	1	2015-07-18 01:32:40
DED10232-DF57-43A3-9E48-75CF50259E69	26	67	1	2015-07-18 01:33:03
329A5672-457A-4263-907A-9671C1EB6CA6	27	51	1	2015-07-18 05:16:39
FFA69D27-CC87-444D-BC87-EFFF7000F626	19	155	1	2015-07-18 17:14:17
81652162-3840-4931-9D1E-4D08E89CB910	11	204	1	2015-07-18 18:13:18
C0A18DCA-1C50-403B-9D37-F447E455E6B4	19	153	1	2015-07-18 19:09:00
DED10232-DF57-43A3-9E48-75CF50259E69	29	338	1	2015-07-18 19:29:56
DED10232-DF57-43A3-9E48-75CF50259E69	29	332	1	2015-07-18 19:29:59
DED10232-DF57-43A3-9E48-75CF50259E69	29	336	1	2015-07-18 19:30:04
DED10232-DF57-43A3-9E48-75CF50259E69	29	328	1	2015-07-18 19:30:09
DED10232-DF57-43A3-9E48-75CF50259E69	29	334	1	2015-07-18 19:30:13
DED10232-DF57-43A3-9E48-75CF50259E69	29	329	1	2015-07-18 19:30:23
DED10232-DF57-43A3-9E48-75CF50259E69	29	337	1	2015-07-18 19:30:28
DED10232-DF57-43A3-9E48-75CF50259E69	29	331	1	2015-07-18 19:30:32
DED10232-DF57-43A3-9E48-75CF50259E69	29	333	1	2015-07-18 19:30:36
A8527820-3F6F-4949-ADA8-548F04EC3BC1	17	190	1	2015-07-18 19:44:08
63F22941-9360-42AF-BE6B-B0CADD707A63	11	200	1	2015-07-18 19:45:58
C0A18DCA-1C50-403B-9D37-F447E455E6B4	27	45	1	2015-07-18 19:51:25
C0A18DCA-1C50-403B-9D37-F447E455E6B4	27	49	1	2015-07-18 19:51:31
DED10232-DF57-43A3-9E48-75CF50259E69	12	266	1	2015-07-18 20:39:39
0CFF0DF7-306C-4E94-AFC9-C4FD5A3B9D72	27	45	1	2015-07-18 22:07:13
84D27897-8E92-49C0-A213-9FE1B8E29D9D	26	60	1	2015-07-18 22:45:08
C0A18DCA-1C50-403B-9D37-F447E455E6B4	28	407	1	2015-07-19 00:30:43
5E39DC39-B443-4938-923A-233DF4EEED56	7	274	1	2015-07-19 02:15:35
2A75567D-22A2-42FE-808F-2CC9E6C061BC	25	71	1	2015-07-19 04:54:11
E8BECF92-3A0F-42AE-909F-867A1173076A	7	275	1	2015-07-19 17:38:35
C0A18DCA-1C50-403B-9D37-F447E455E6B4	30	327	1	2015-07-19 23:29:23
